origem,destino
101001,110218
101001,110106
101002,110106
101003,110106
101004,110106
101005,110018
101005,110126
101006,110126
101007,110126
101009,103407
101010,103407
101011,103404
101012,110018
101013,110013
101014,110013
101015,110013
101016,110206
101016,110206
101017,110051
101018,110126
101019,110126
101020,110126
101021,101131
101021,110126
101022,110126
101121,110013
101121,110013
101122,110013
101123,110013
101126,110018
101127,110018
101128,110085
101129,110085
101131,110018
101131,110018
101131,110013
101131,110018
101161,110126
101162,110126
101163,110126
101163,110126
101166,110126
101167,110126
101170,110018
101171,103502
102001,110022
102002,110022
102003,110022
102004,110022
102005,110022
102006,110060
102007,103507
102009,110060
102009,110022
102010,110060
102011,110060
102012,110060
102013,110022
102013,103271
102014,103505
102014,102017
102015,110022
102016,110022
102016,110022
102016,110022
102016,110022
102017,110022
102017,110349
102018,110060
102018,110060
102019,110060
102020,110428
102021,110428
102022,110060
102024,110060
102025,103511
102025,103201
102026,103274
102026,110212
102026,110212
102027,101171
102027,102014
102027,110152
102028,110022
102029,110022
102030,110022
102031,110089
102031,110066
102031,102017
102032,110089
102033,110022
102033,110055
102033,110055
102034,110127
102036,110022
102037,110089
102038,110152
102039,103504
102039,110152
102040,110152
102041,101022
102041,110152
102041,110152
102041,110152
102241,110152
102244,109039
103004,110126
103004,110126
103155,101166
103155,110122
103155,110122
103155,110122
103155,110122
103155,101162
103155,101163
103155,110122
103155,101167
103155,110122
103155,101129
103155,110122
103155,110122
103155,101161
103194,130197
103194,130365
103194,130365
103195,104010
103195,104006
103195,104009
103201,110200
103203,110200
103203,110200
103205,110200
103206,110200
103207,110200
103243,102018
103243,110060
103271,101021
103271,101121
103271,101005
103272,101006
103274,101017
103277,101131
103303,110016
103303,110016
103303,110016
103403,110045
103404,110045
103404,110045
103405,110074
103406,110074
103407,110074
103407,110074
103502,110005
103502,110005
103503,110005
103503,110005
103503,102014
103503,180978
103504,110113
103505,110016
103507,101131
103509,110005
103509,110005
103510,110060
103511,103503
103512,101131
104001,103194
104002,130297
104003,130385
104004,130385
104005,130192
104006,130192
104009,103194
104010,103194
104011,130386
104013,130297
104101,120026
104102,120022
104102,120022
104103,120022
104104,120026
104105,120139
104107,120026
104109,120026
104110,120026
104201,108008
104201,108008
104201,104413
104201,104413
104202,108005
104202,105934
104202,105934
104203,130480
104205,130480
104206,120223
104207,120223
104208,120580
104301,108111
104301,108111
104301,108111
104301,108111
104301,108111
104301,108111
104301,108111
104302,104903
104302,104903
104303,108095
104304,108095
104304,108095
104304,108095
104304,108095
104304,108095
104304,108095
104306,150133
104306,160832
104307,140480
104308,150026
104309,140296
104310,150133
104311,150133
104315,150133
104316,150431
104317,150026
104317,150505
104318,150026
104319,150026
104401,120001
104401,120001
104404,130866
104405,120094
104406,130110
104407,130002
104408,130002
104409,130002
104410,130002
104411,108011
104411,108011
104411,104202
104411,104202
104412,120001
104413,108014
104413,108022
104413,108014
104413,108022
104501,190201
104501,180127
104502,190001
104502,190001
104503,190001
104504,190001
104504,190001
104505,108190
104505,108190
104506,180127
104507,180053
104508,190001
104508,190001
104509,108187
104601,108201
104603,190298
104606,190736
104606,181090
104607,190298
104608,190298
104608,190298
104611,190200
104612,180228
104612,180228
104613,180228
104614,190736
104615,190200
104615,190200
104616,190200
104621,190736
104701,108154
104701,108154
104702,108151
104702,108151
104702,108151
104703,130969
104704,130604
104706,140125
104801,108053
104801,108053
104801,108053
104802,105933
104802,105933
104803,108057
104803,108057
104803,108057
104803,108057
104803,108057
104803,108057
104803,108057
104803,108057
104803,108057
104804,108053
104804,108053
104804,108053
104804,108053
104804,108053
104804,108053
104804,108053
104804,108053
104804,106101
104805,170002
104805,170002
104806,170002
104806,170170
104807,170170
104808,170002
104808,170002
104809,170002
104810,170111
104810,170111
104811,150169
104812,150169
104813,150169
104814,150169
104815,150362
104816,150169
104817,170111
104818,170170
104819,150169
104901,104302
104901,104302
104902,108094
104902,108094
104902,108094
104902,108094
104902,108094
104902,108094
104902,108094
104903,105504
104903,105504
104904,108091
104904,108091
104904,108091
104904,108091
104904,108091
104904,108091
104904,108091
104905,140333
104906,140333
104907,150302
104908,150783
104909,150302
104911,150133
104916,190200
104916,190200
104916,190200
104917,105801
104917,105801
105001,180452
105001,180452
105002,180804
105003,180763
105004,180432
105005,180763
105006,180198
105007,180198
105008,180197
105008,180197
105010,180197
105101,108144
105101,108144
105103,140521
105104,140228
105105,140228
105106,140685
105107,140685
105107,140685
105108,140521
105109,140228
105109,141048
105202,180074
105203,170238
105204,170086
105205,180074
105205,180074
105205,180074
105205,180074
105205,180074
105205,180074
105205,180074
105206,180074
105207,180074
105207,180074
105207,180074
105207,180074
105208,180074
105209,180074
105210,170613
105211,170086
105212,170321
105212,170321
105301,180001
105302,180001
105302,180001
105303,180292
105304,181055
105304,181055
105305,180100
105306,180100
105307,180099
105308,180099
105308,180099
105309,180099
105310,180001
105311,180001
105311,180100
105311,180100
105312,180001
105313,180099
105313,180099
105314,180530
105315,180292
105316,180100
105316,180100
105501,104901
105501,104901
105502,108088
105502,108088
105502,108088
105502,108088
105502,108088
105502,108088
105502,108088
105503,108085
105503,108085
105503,108085
105503,108085
105503,108085
105503,108085
105504,108084
105504,108084
105505,108085
105506,150204
105507,140001
105507,150204
105508,140001
105509,140474
105510,140014
105510,140763
105511,140474
105512,150204
105513,150204
105514,150204
105601,108147
105601,108147
105601,108147
105602,108150
105602,108150
105603,140246
105604,140243
105605,140243
105606,140243
105607,140246
105608,140654
105701,108064
105701,108036
105702,108064
105702,108064
105702,108064
105702,108064
105702,108064
105702,108064
105702,108064
105702,108123
105702,108064
105703,108123
105703,108123
105703,108123
105703,108123
105703,108123
105703,108123
105704,108203
105706,109092
105707,105931
105707,105931
105707,105931
105707,105931
105707,105931
105707,109097
105708,150331
105708,150331
105709,150331
105710,150331
105711,150331
105712,150331
105713,150331
105715,150331
105716,150331
105717,150331
105718,170053
105719,150331
105721,150331
105723,150331
105726,150331
105727,150331
105728,150331
105729,150845
105730,170983
105731,150331
105732,150331
105732,150331
105732,150331
105733,170983
105734,170273
105734,170273
105735,170983
105739,170958
105739,150331
105739,170626
105739,170649
105740,150331
105801,108049
105801,108122
105801,108122
105801,108049
105801,108122
105801,108049
105801,108049
105801,108122
105801,108122
105801,108122
105801,104802
105801,108035
105801,108035
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,108052
105802,104802
105804,170030
105804,170030
105805,170030
105806,150023
105807,150862
105809,170030
105810,150862
105811,150023
105812,150023
105813,170030
105901,108002
105903,120430
105904,120430
105905,120430
105906,130557
105906,130557
105907,130919
105908,130557
105909,130550
105910,130919
105911,130919
105914,150331
105914,150331
105916,180452
105917,150331
105918,150331
105918,150331
105922,170737
105923,150331
105924,150331
105925,150331
105927,108174
105928,150331
105929,150331
105931,109002
105931,109002
105931,109002
105931,109002
105931,109002
105933,104917
105933,104917
105934,104201
105934,104201
105938,180452
106001,190240
106002,190240
106002,190240
106002,190326
106003,190240
106003,190240
106004,190752
106004,190752
106004,190752
106004,190752
106005,190326
106006,190240
106006,190240
106007,190326
106008,190240
106008,190240
106009,190302
106009,190302
106010,190302
106015,190240
106016,190326
106016,191016
106017,190240
106018,190326
106019,150926
106019,160023
106019,160023
106101,108132
106101,108132
106101,108132
106101,108132
106101,108132
106101,108132
106101,108132
106101,108132
106102,108098
106102,108098
106102,108098
106102,108098
106102,108098
106102,108098
106102,108098
106103,160098
106105,160302
106105,160302
106105,160046
106106,160023
106106,160023
106106,160023
106108,160022
106109,106105
106110,150610
106111,150610
106112,150348
106113,160023
106113,160023
106114,160023
106115,160023
108001,105901
108002,108004
108003,108001
108004,108006
108005,108003
108006,104201
108007,104201
108007,104202
108008,108010
108008,108010
108009,108007
108009,108007
108010,108012
108010,108012
108011,108009
108011,108009
108012,104413
108012,104413
108013,104411
108013,104411
108013,104413
108014,108016
108014,108016
108015,108013
108015,108013
108015,108013
108016,109146
108016,109146
108019,109147
108019,109147
108019,109147
108020,108022
108020,108022
108021,108019
108021,108019
108021,108019
108021,104411
108021,104411
108022,108024
108022,108024
108022,108024
108022,108024
108023,108021
108023,108021
108023,108021
108023,108021
108023,108021
108024,108025
108024,108025
108024,108025
108024,108025
108024,108025
108025,108030
108025,108028
108025,108220
108025,108032
108025,108028
108025,108028
108025,108032
108026,108023
108026,108168
108026,108168
108026,108023
108026,108023
108026,108168
108026,108023
108026,108023
108027,108026
108027,108026
108027,108026
108028,108032
108028,108032
108028,108032
108030,108173
108030,108173
108031,108027
108031,108027
108031,108216
108031,108027
108031,108026
108031,108026
108032,108034
108032,108034
108032,108036
108032,108034
108032,108034
108032,108036
108033,108031
108033,108031
108033,108031
108033,108031
108034,108036
108034,108036
108034,108036
108034,108036
108035,108033
108035,108033
108035,108033
108035,108033
108035,108031
108035,108031
108036,108038
108036,108038
108036,105801
108036,108038
108036,108038
108036,108038
108036,105802
108037,108035
108037,108035
108037,108035
108037,108035
108038,108040
108038,108040
108038,108040
108038,108040
108038,108040
108039,108037
108039,108037
108039,108037
108039,108037
108040,108042
108040,108042
108040,108042
108040,108042
108040,108042
108041,108039
108041,108039
108041,108039
108041,108039
108042,108044
108042,108044
108042,108044
108042,108044
108042,108044
108043,108041
108043,108041
108043,108041
108043,108041
108044,108046
108044,108046
108044,108046
108044,108046
108044,108046
108045,108043
108045,108043
108045,108043
108045,108043
108046,108048
108046,108048
108046,108048
108046,108048
108046,108048
108047,108045
108047,108045
108047,108045
108047,108045
108048,108050
108048,108050
108048,108050
108048,108050
108048,108050
108049,108047
108049,108047
108049,108047
108049,108047
108050,105802
108050,105802
108050,105802
108050,105802
108050,105802
108051,105801
108051,105801
108051,105801
108051,105802
108051,105801
108051,105801
108051,105801
108051,105801
108051,105801
108051,105801
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108052,108054
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108053,108051
108054,104803
108054,104803
108054,104803
108054,104803
108054,104801
108054,104803
108054,104803
108054,104803
108054,104801
108054,104801
108054,104803
108054,104803
108057,108059
108057,108059
108057,108059
108057,108059
108057,108059
108057,108059
108057,108059
108057,108059
108057,108059
108058,104804
108058,104804
108058,104804
108058,104804
108058,104804
108058,104804
108058,104804
108058,104804
108058,104804
108059,108061
108059,108061
108059,108061
108059,108061
108059,108061
108059,108061
108059,108061
108059,108061
108059,108061
108060,108058
108060,108058
108060,108058
108060,108058
108060,108058
108060,108058
108060,108058
108060,108058
108060,108058
108061,108063
108061,108063
108061,108063
108061,108063
108061,108063
108061,108063
108061,108063
108061,108063
108061,108063
108062,108060
108062,108060
108062,108060
108062,108060
108062,108060
108062,108060
108062,108060
108062,108060
108062,108060
108063,105703
108063,105703
108063,105701
108063,105703
108063,105702
108063,105703
108063,105701
108063,105703
108064,108062
108064,108062
108064,108062
108064,108062
108064,108062
108064,108062
108064,108062
108064,108062
108064,108062
108065,108067
108065,108067
108065,108067
108067,108070
108067,108077
108067,108077
108068,108065
108069,108068
108070,108072
108071,108069
108071,108214
108071,108214
108072,108073
108072,108079
108073,108076
108074,108071
108075,108074
108076,108077
108077,108079
108077,108083
108077,108083
108078,108075
108078,108214
108078,108214
108079,108081
108079,108211
108080,108078
108080,108071
108080,108071
108081,108083
108082,108080
108083,108086
108083,108086
108083,108086
108083,108086
108083,108086
108083,108086
108083,108086
108083,105501
108083,105501
108084,108082
108084,108211
108084,108211
108084,108211
108084,108211
108084,108211
108084,108211
108084,108078
108084,108078
108085,108084
108085,108084
108085,108084
108085,108084
108085,108084
108085,108084
108085,108084
108086,105502
108086,105502
108086,105502
108086,105502
108086,105502
108086,105502
108087,105505
108087,105503
108087,105503
108087,105503
108087,105503
108087,105503
108088,108090
108088,108090
108088,108090
108088,108090
108088,108090
108088,108090
108088,108090
108089,108087
108089,108087
108089,108087
108089,108087
108089,108087
108089,108087
108089,108087
108090,108092
108090,108092
108090,108092
108090,108092
108090,108092
108090,108092
108090,108092
108091,108089
108091,108089
108091,108089
108091,108089
108091,108089
108091,108089
108091,108089
108092,104902
108092,104902
108092,104902
108092,104902
108092,104902
108092,104902
108092,104902
108093,104904
108093,104904
108093,104904
108093,104904
108093,104904
108093,104904
108093,104904
108094,108096
108094,108096
108094,108096
108094,108096
108094,108095
108094,108096
108094,108096
108095,108093
108095,108093
108095,108093
108095,108093
108095,104301
108095,108093
108095,108093
108095,108093
108096,104301
108096,104303
108096,104301
108096,104301
108096,104301
108097,106101
108097,106101
108097,106102
108097,106101
108097,106101
108097,106101
108098,108100
108098,108100
108098,108100
108098,108100
108098,108100
108098,108100
108098,108100
108099,108097
108099,108097
108099,108097
108099,108097
108099,108097
108099,108097
108099,108097
108100,108102
108100,108102
108100,108102
108100,108102
108100,108102
108100,108102
108100,108102
108101,108099
108101,108099
108101,108099
108101,108099
108101,108099
108101,108099
108101,108099
108102,108104
108102,108104
108102,108104
108102,108104
108102,108104
108102,108104
108102,108104
108103,108101
108103,108101
108103,108101
108103,108101
108103,108101
108103,108101
108103,108101
108104,108106
108104,108106
108104,108106
108104,108106
108104,108106
108104,108106
108104,108106
108105,108103
108105,108103
108105,108103
108105,108103
108105,108103
108105,108103
108105,108103
108106,108108
108106,108108
108106,108108
108106,108108
108106,108108
108106,108108
108106,108108
108107,108105
108107,108105
108107,108105
108107,108105
108107,108105
108107,108105
108107,108105
108108,108110
108108,108110
108108,108110
108108,108110
108108,108110
108108,108110
108108,108110
108109,108107
108109,108107
108109,108107
108109,108107
108109,108107
108109,108107
108109,108107
108110,108112
108110,108112
108110,108112
108110,108112
108110,108112
108110,108112
108110,108112
108111,108109
108111,108109
108111,108109
108111,108109
108111,108109
108111,108109
108111,108109
108112,104304
108112,104301
108112,104304
108112,104304
108112,104304
108112,104304
108113,108115
108113,108115
108113,108115
108113,108115
108113,108115
108113,108115
108114,108212
108114,108212
108114,108212
108114,108212
108114,108212
108114,108212
108115,108117
108115,108117
108115,108117
108115,108117
108115,108117
108115,108117
108116,108114
108116,108114
108116,108114
108116,108114
108116,108114
108116,108114
108117,108119
108117,108119
108117,108119
108117,108119
108117,108119
108117,108119
108118,108116
